Date,Close
4/10/2012,9538.02
4/11/2012,9458.74
4/12/2012,9524.79
4/13/2012,9637.99
4/16/2012,9470.64
4/17/2012,9464.71
4/18/2012,9667.26
4/19/2012,9588.38
4/20/2012,9561.36
4/23/2012,9542.17
4/24/2012,9468.04
4/25/2012,9561.01
4/26/2012,9561.83
4/27/2012,9520.89
5/1/2012,9350.95
5/2/2012,9380.25
5/7/2012,9119.14
5/8/2012,9181.65
5/9/2012,9045.06
5/10/2012,9009.65
5/11/2012,8953.31
5/14/2012,8973.84
5/15/2012,8900.74
5/16/2012,8801.17
5/17/2012,8876.59
5/18/2012,8611.31
5/21/2012,8633.89
5/22/2012,8729.29
5/23/2012,8556.60
5/24/2012,8563.38
5/25/2012,8580.39
5/28/2012,8593.15
5/29/2012,8657.08
5/30/2012,8633.19
5/31/2012,8542.73
6/1/2012,8440.25
6/4/2012,8295.63
6/5/2012,8382.00
6/6/2012,8533.53
6/7/2012,8639.72
6/8/2012,8459.26
6/11/2012,8624.90
6/12/2012,8536.72
6/13/2012,8587.84
6/14/2012,8568.89
6/15/2012,8569.32
6/18/2012,8721.02
6/19/2012,8655.87
6/20/2012,8752.31
6/21/2012,8824.07
6/22/2012,8798.35
6/25/2012,8734.62
6/26/2012,8663.99
6/27/2012,8730.49
6/28/2012,8874.11
6/29/2012,9006.78
7/2/2012,9003.48
7/3/2012,9066.59
7/4/2012,9104.17
7/5/2012,9079.80
7/6/2012,9020.75
7/9/2012,8896.88
7/10/2012,8857.73
7/11/2012,8851.00
7/12/2012,8720.01
7/13/2012,8724.12
7/17/2012,8755.00
7/18/2012,8726.74
7/19/2012,8795.55
7/20/2012,8669.87
7/23/2012,8508.32
7/24/2012,8488.09
7/25/2012,8365.90
7/26/2012,8443.10
7/27/2012,8566.64
7/30/2012,8635.44
7/31/2012,8695.06
8/1/2012,8641.85
8/2/2012,8653.18
8/3/2012,8555.11
8/6/2012,8726.29
8/7/2012,8803.31
8/8/2012,8881.16
8/9/2012,8978.60
8/10/2012,8891.44
8/13/2012,8885.15
8/14/2012,8929.88
8/15/2012,8925.04
8/16/2012,9092.76
8/17/2012,9162.50
8/20/2012,9171.16
8/21/2012,9156.92
8/22/2012,9131.74
8/23/2012,9178.12
